date,open,high,low,close,volume,ticker,source
2005-12-15,2.59571,2.60214,2.54821,2.57786,561162000.0,AAPL,twelvedata
2005-12-16,2.57643,2.58214,2.53786,2.53964,671171200.0,AAPL,twelvedata
2005-12-19,2.53964,2.59286,2.53714,2.54929,529295200.0,AAPL,twelvedata
2005-12-20,2.55821,2.585,2.54,2.57536,479108000.0,AAPL,twelvedata
2005-12-21,2.59286,2.62893,2.59071,2.625,475736800.0,AAPL,twelvedata
2005-12-22,2.63964,2.66036,2.62857,2.64357,370610800.0,AAPL,twelvedata
2005-12-23,2.64893,2.65214,2.61786,2.61964,229857600.0,AAPL,twelvedata
2005-12-27,2.64286,2.685,2.64107,2.65107,590590000.0,AAPL,twelvedata
2005-12-28,2.65964,2.67,2.61857,2.6275,398115200.0,AAPL,twelvedata
2005-12-29,2.635,2.63643,2.55071,2.55179,490025200.0,AAPL,twelvedata
2005-12-30,2.5325,2.58679,2.51214,2.5675,624262800.0,AAPL,twelvedata
2006-01-03,2.585,2.66964,2.58036,2.66964,807234400.0,AAPL,twelvedata
2006-01-04,2.68321,2.71357,2.66071,2.6775,619603600.0,AAPL,twelvedata
2006-01-05,2.6725,2.675,2.63393,2.65643,449422400.0,AAPL,twelvedata
2006-01-06,2.6875,2.73929,2.6625,2.725,704457600.0,AAPL,twelvedata
2006-01-09,2.74036,2.75714,2.705,2.71607,675040800.0,AAPL,twelvedata
2006-01-10,2.72321,2.92464,2.70821,2.88786,2279869200.0,AAPL,twelvedata
2006-01-11,2.99429,3.028571,2.94964,2.99643,1493794400.0,AAPL,twelvedata
2006-01-12,3.034643,3.085714,2.98643,3.010357,1280809600.0,AAPL,twelvedata
2006-01-13,3.035357,3.071786,3.021429,3.056786,776305600.0,AAPL,twelvedata
2006-01-17,3.060714,3.085,2.99536,3.025357,835623600.0,AAPL,twelvedata
2006-01-18,2.96714,3.001786,2.92321,2.94607,1200637200.0,AAPL,twelvedata
2006-01-19,2.90179,2.91643,2.81214,2.82286,1695848000.0,AAPL,twelvedata
2006-01-20,2.83143,2.85857,2.70821,2.7175,1134758800.0,AAPL,twelvedata
2006-01-23,2.71786,2.84143,2.71429,2.77393,1059730000.0,AAPL,twelvedata
2006-01-24,2.81286,2.83643,2.70607,2.71571,1142254400.0,AAPL,twelvedata
